FILIAL;REFERÊNCIA_COR;DESCRIÇÃO_PRODUTO;CATEGORIA;SUB CATEGORIA;VALOR_VENDA;QTDE_ESTOQUE;STATUS_REFERÊNCIA;MOTIVO_STATUS;STATUS_DESATIVADO
LOJA 04;29.14349_04019;TOP ALCA ELASTICO                       ;BLUSA;TOP;118;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.15319_04076;SANDALIA AMARRACAO CORDAS               ;SAPATO;SANDALIA;458;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.15720_04022;CINTO FINO ARGOLAS PESPONTOS CINTURA    ;ACESSÓRIO;CINTO;198;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14174_27281;CALCA ESTAMPA DELFINES                  ;CALÇA;CALÇA;298;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14721_0024;CAMISA OMBRO ESTRUTURADO                ;BLUSA;CAMISA;358;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14160_1652;BLUSA TRICOT LISTRA LUREX               ;BLUSA;BLUSA;109;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.11973_0001;CINTO COURO TACHAS CINTURA              ;ACESSÓRIO;CINTO;318;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.12282_0005;BLUSA MANGA LONGA SEGUNDA PELE          ;BLUSA;BLUSA;79;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.12941_2712;BLUSA ESTAMPA NATUREZA                  ;BLUSA;BLUSA;99;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.11702_2710;TUNICA ESTAMPA DALIA                    ;BLUSA;TUNICA;89;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.08272_019;MACACAO PANTACOURT ESTAMPA VAPOR        ;MACACAO;MACACAO;279;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13999_04019;COLETE RECORTES MANGA PESPONTO          ;COLETE / KIMONO;COLETE;189;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14149_27299;BLUSA CROPPED ESTAMPA ENAMORADOS        ;BLUSA;BLUSA;178;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13590_04027;CALCA CREPE PANTACOURT                  ;CALÇA;CALÇA;289;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13332_27003;CALCA ESTAMPA FIESTA/RAMO               ;CALÇA;CALÇA;298;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13675_27251;VESTIDO LONGO ESTAMPA RIVIERA           ;VESTIDO;VESTIDO;179;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.12112_2778;TOP BABADO DECOTE EST. TRACADO          ;BLUSA;TOP;238;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13366_27253;SHORT ESTAMPA MANTILHA                  ;BERMUDA /SHORT;SHORT;139;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14005_04001;CALCA MICROFLARE                        ;CALÇA;CALÇA;149;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13371_27265;BLUSA ESTAMPADA GUADALAJARA             ;BLUSA;BLUSA;109;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13576_0005;BLUSA DECOTE V BOLSO ASSIMETRICA        ;BLUSA;BLUSA;149;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13466_04006;BLUSA ALCA JABOUR                       ;BLUSA;BLUSA;99;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.08091_2267;MACACAO ZIPER METAL                     ;MACACAO;MACACAO;179;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13466_1652;BLUSA ALCA JABOUR                       ;BLUSA;BLUSA;99;2;COM FOTO;DESATIVADO;PRODUTO DIFERENTE DA IMAGEM
LOJA 04;29.03935_2048;CAMISA TRICOLINE DETALHE BOTOES         ;BLUSA;CAMISA;119;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.13470_27249;BLUSA ESTAMPA PINATA                    ;BLUSA;BLUSA;198;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13639_27277;BLUSA MANGA ESTAMPA CANCUN PISCINA      ;BLUSA;BLUSA;218;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13488_0001;VESTIDO BORDADO ESTRELA CACHECOUER      ;VESTIDO;VESTIDO;718;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.11703_24239;BLUSA ESTAMPA BRASAO                    ;BLUSA;BLUSA;89;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.08883_1099;CALCA SKINNY PELETIZADA COLOR           ;CALÇA;CALÇA;139;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.11715_2718;COLETE ESTAMPA ASAS                     ;COLETE / KIMONO;COLETE;278;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.09914_055;ARGOLA METAL BICOLOR CRAVEJADO          ;ACESSÓRIO;ARGOLA;178;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.12170_2687;CALCA TUNEL FRENTE BOTOES               ;CALÇA;CALÇA;278;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.14001_04016;VESTIDO MIDI CINTURA ELASTICO           ;VESTIDO;VESTIDO;318;2;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.14069_0091;CALCA JEANS CORDAO MULTICOLOR           ;CALÇA;CALÇA;169;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13502_04035;BLUSA CREPE ALCA CORDAO SAO FRANCISCO   ;BLUSA;BLUSA;119;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.13555_04030;MACACAO CREPE VAZADO LATERAL ALADIM     ;MACACAO;MACACAO;399;2;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.12907_0005;MACACAO DE MALHA COM MANGA BUFANTE      ;MACACAO;MACACAO;299;2;SEM FOTO;SEM FOTO;0
LOJA 04;29.10978_2697;BLUSA FENDA LATERAL                     ;BLUSA;BLUSA;99;1;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16981_04328;CALCA FAIXA PESPONTO                    ;CALÇA;CALÇA;229;1;COM FOTO;DESATIVADO;FALTA DE PADRÃO NO TAMANHO
LOJA 04;29.16715_0001;REGATA ALCA DUPLA ELASTICO              ;BLUSA;REGATA;49;1;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.17380_30209;SAIA MIDI ESTAMPA  LISTRA POA           ;SAIA;SAIA;159;1;COM FOTO;FOTO TRATAMENTO;0
LOJA 04;29.16964_0005;SAIA MIDI BORDADO BICOLOR               ;SAIA;SAIA;289;1;COM FOTO;ATIVO NO SITE;0
LOJA 04;29.16988_30212;CALCA ESTAMPA PEONIA                    ;CALÇA;CALÇA;169;1;COM FOTO;ATIVO NO SITE;0
